Longitude (x)__Derived,Latitude (y)__Derived,Station Name__Derived,Climate ID__Derived,Date/Time__Derived,Year__Source,Month__Source,Day__Source,Max Temp (°C)__Source,Min Temp (°C)__Source,Mean Temp (°C)__Source,Heat Deg Days (°C)__Derived,Cool Deg Days (°C)__Derived,Total Rain (mm)__Source,Total Snow (cm)__Source,Total Precip (mm)__Source,Snow on Grnd (cm)__Derived,DownloadYear__Derived,Date__Source,Precip_Last_Day__Derived,Mean_Temp_Last_Day__Derived,Precip_3day_sum__Derived,Total_Rain_3day_sum__Derived,Total_Snow_3day_sum__Derived,Precip_7day_sum__Derived,Total_Rain_7day_sum__Derived,Total_Snow_7day_sum__Derived,Day_of_Year__Derived,Month_of_Year__Derived,Day_of_Year_sin__Derived,Day_of_Year_cos__Derived,Month_of_Year_sin__Derived,Month_of_Year_cos__Derived,Next_Day_Precip__Target,Flood_Event_Imminent__Target
-79.4,43.67,TORONTO CITY,6158355,2020-03-08,2020,3,8,10.6,1.2,5.9,12.1,0.0,0.0,0.0,0.5,2.0,2020,2020-03-08,1.1,-0.9,3.3999999999999986,0.0,0.0,16.500000000000007,0.0,0.0,68,3,0.9206588168102426,0.39036821467630267,1.0,6.123233995736766e-17,0.2,0
-79.4,43.67,TORONTO CITY,6158355,2020-03-07,2020,3,7,3.6,-5.4,-0.9,18.9,0.0,0.0,0.0,1.1,2.0,2020,2020-03-07,1.2,1.4,2.6999999999999984,0.0,0.0,16.60000000000001,0.0,0.0,67,3,0.9138076496466614,0.4061472386305789,1.0,6.123233995736766e-17,0.5,0
-79.4,43.67,TORONTO CITY,6158355,2019-07-19,2019,7,19,30.2,22.7,26.5,0.0,8.5,0.0,0.0,0.0,0.0,2019,2019-07-19,0.0,24.8,26.0,0.0,0.0,42.7,0.0,0.0,200,7,-0.29446162178680124,-0.9556633054034706,-0.4999999999999997,-0.8660254037844387,4.3,0
-79.4,43.67,TORONTO CITY,6158355,2020-12-17,2020,12,17,-2.9,-7.2,-5.0,23.0,0.0,0.0,0.0,0.1,0.0,2020,2020-12-17,0.3,-5.9,0.5,0.0,0.0,9.700000000000014,0.0,0.0,352,12,-0.2259636082480191,0.9741357440046721,-2.4492935982947064e-16,1.0,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-04-19,2019,4,19,15.1,5.6,10.4,7.6,0.0,0.0,0.0,18.8,0.0,2019,2019-04-19,0.3,13.3,0.3,0.0,0.0,25.7,0.0,0.0,109,4,0.9540665500578388,-0.29959475639726024,0.8660254037844387,-0.4999999999999997,9.1,0
-79.4,43.67,TORONTO CITY,6158355,2019-02-16,2019,2,16,-2.2,-7.9,-5.0,23.0,0.0,0.0,0.0,0.2,8.0,2019,2019-02-16,1.3,0.5,6.4,0.0,0.0,28.299999999999997,0.0,0.0,47,2,0.7232617254437389,0.6905740195722294,0.8660254037844385,0.5000000000000001,0.6,0
-79.4,43.67,TORONTO CITY,6158355,2020-10-24,2020,10,24,9.3,3.8,6.6,11.4,0.0,0.0,0.0,0.0,0.0,2020,2020-10-24,3.1,16.0,10.900000000000002,0.0,0.0,20.100000000000016,0.0,0.0,298,10,-0.9155458729775465,0.4022135682368037,-0.8660254037844385,0.5,0.4,0
-79.4,43.67,TORONTO CITY,6158355,2019-03-30,2019,3,30,6.2,0.7,3.4,14.6,0.0,0.0,0.0,31.6,1.0,2019,2019-03-30,0.0,8.2,0.2,0.0,0.0,0.4,0.0,0.0,89,3,0.9992088560679755,0.03977011384605573,1.0,6.123233995736766e-17,7.5,0
-79.4,43.67,TORONTO CITY,6158355,2019-03-26,2019,3,26,3.4,-3.0,0.2,17.8,0.0,0.0,0.0,0.0,2.0,2019,2019-03-26,0.0,-0.1,0.2,0.0,0.0,0.8,0.0,0.0,85,3,0.9941098647022417,0.10837701279187609,1.0,6.123233995736766e-17,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2020-06-28,2020,6,28,29.7,18.3,24.0,0.0,6.0,0.0,0.0,0.8,0.0,2020,2020-06-28,0.2,24.2,2.399999999999998,0.0,0.0,8.900000000000011,0.0,0.0,180,6,0.045141017773971934,-0.9989806246941582,1.2246467991473532e-16,-1.0,0.9,0
-79.4,43.67,TORONTO CITY,6158355,2020-11-27,2020,11,27,8.2,6.3,7.3,10.7,0.0,0.0,0.0,0.0,0.0,2020,2020-11-27,0.6,9.3,8.0,0.0,0.0,25.300000000000015,0.0,0.0,332,11,-0.5412984521036172,0.8408305333122887,-0.5000000000000003,0.8660254037844383,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2020-01-10,2020,1,10,7.6,3.3,5.4,12.6,0.0,0.0,0.0,1.1,2.0,2020,2020-01-10,0.0,-3.2,1.6,0.0,0.0,8.900000000000007,0.0,0.0,10,1,0.17117705961019986,0.985240282501282,0.4999999999999999,0.8660254037844386,55.3,1
-79.4,43.67,TORONTO CITY,6158355,2019-11-03,2019,11,3,6.8,2.4,4.6,13.4,0.0,0.0,0.0,0.0,0.0,2019,2019-11-03,0.7,5.2,24.8,0.0,0.0,74.80000000000001,0.0,0.0,307,11,-0.8425720899866032,0.538583580492023,-0.5000000000000003,0.8660254037844383,0.4,0
-79.4,43.67,TORONTO CITY,6158355,2019-01-18,2019,1,18,0.8,-8.7,-3.9,21.9,0.0,0.0,0.0,1.0,1.0,2019,2019-01-18,0.2,-6.7,1.0,0.0,0.0,1.0,0.0,0.0,18,1,0.30471923310916343,0.9524422234305677,0.4999999999999999,0.8660254037844386,8.1,0
-79.4,43.67,TORONTO CITY,6158355,2019-03-03,2019,3,3,-0.7,-7.7,-4.2,22.2,0.0,0.0,0.0,0.4,17.0,2019,2019-03-03,2.9,-2.1,3.1,0.0,0.0,22.3,0.0,0.0,62,3,0.8755389928586301,0.4831474640149687,1.0,6.123233995736766e-17,0.2,0
-79.4,43.67,TORONTO CITY,6158355,2019-03-27,2019,3,27,7.8,0.3,4.0,14.0,0.0,0.0,0.0,0.0,1.0,2019,2019-03-27,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,86,3,0.9958270335100593,0.09126072172931188,1.0,6.123233995736766e-17,0.2,0
-79.4,43.67,TORONTO CITY,6158355,2019-08-30,2019,8,30,24.8,15.5,20.1,0.0,2.1,0.0,0.0,0.0,0.0,2019,2019-08-30,0.0,20.7,12.6,0.0,0.0,12.600000000000007,0.0,0.0,242,8,-0.8528367217694593,-0.5221776766595079,-0.8660254037844383,-0.5000000000000003,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-09-04,2019,9,4,21.7,13.8,17.8,0.2,0.0,0.0,0.0,0.0,0.0,2019,2019-09-04,5.2,18.8,5.2,0.0,0.0,5.200000000000007,0.0,0.0,247,9,-0.8945422369764494,-0.4469834295196741,-1.0,-1.8369701987210297e-16,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2020-12-27,2020,12,27,4.7,-2.6,1.1,16.9,0.0,0.0,0.0,0.5,3.0,2020,2020-12-27,1.0,-3.0,18.299999999999997,0.0,0.0,20.400000000000013,0.0,0.0,362,12,-0.05587875690537313,0.9984375616565667,-2.4492935982947064e-16,1.0,3.4,0
-79.4,43.67,TORONTO CITY,6158355,2019-12-23,2019,12,23,10.1,2.2,6.1,11.9,0.0,0.0,0.0,0.0,1.0,2019,2019-12-23,0.0,3.5,0.2,0.0,0.0,2.300000000000007,0.0,0.0,357,12,-0.14144406768794204,0.9899462489023778,-2.4492935982947064e-16,1.0,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2020-08-02,2020,8,2,26.3,19.9,23.1,0.0,5.1,0.0,0.0,39.8,0.0,2020,2020-08-02,4.9,24.8,6.799999999999996,0.0,0.0,12.900000000000011,0.0,0.0,215,8,-0.5285813283559291,-0.8488826652214553,-0.8660254037844383,-0.5000000000000003,22.8,1
-79.4,43.67,TORONTO CITY,6158355,2019-07-25,2019,7,25,27.9,16.7,22.3,0.0,4.3,0.0,0.0,1.0,0.0,2019,2019-07-25,0.0,22.0,0.7,0.0,0.0,5.000000000000007,0.0,0.0,206,7,-0.39135783656102596,-0.9202385798054075,-0.4999999999999997,-0.8660254037844387,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-12-09,2019,12,9,10.1,6.2,8.1,9.9,0.0,0.0,0.0,7.4,3.0,2019,2019-12-09,0.0,3.8,6.3,0.0,0.0,13.300000000000008,0.0,0.0,343,12,-0.37347653741307074,0.9276396261490466,-2.4492935982947064e-16,1.0,0.4,0
-79.4,43.67,TORONTO CITY,6158355,2020-05-22,2020,5,22,23.5,10.7,17.1,0.9,0.0,0.0,0.0,0.7,0.0,2020,2020-05-22,0.7,15.4,0.8999999999999981,0.0,0.0,16.30000000000001,0.0,0.0,143,5,0.6300720909843687,-0.7765366444428656,0.4999999999999999,-0.8660254037844386,1.2,0
-79.4,43.67,TORONTO CITY,6158355,2019-12-01,2019,12,1,-0.2,-3.2,-1.7,19.7,0.0,0.0,0.0,13.0,0.0,2019,2019-12-01,0.0,-1.8,0.0,0.0,0.0,5.700000000000007,0.0,0.0,335,12,-0.49720407844693776,0.8676336233547725,-2.4492935982947064e-16,1.0,5.9,0
-79.4,43.67,TORONTO CITY,6158355,2019-06-12,2019,6,12,21.5,11.1,16.3,1.7,0.0,0.0,0.0,0.0,0.0,2019,2019-06-12,0.2,17.6,25.5,0.0,0.0,37.2,0.0,0.0,163,6,0.3312212278016865,-0.9435531242349544,1.2246467991473532e-16,-1.0,19.1,1
-79.4,43.67,TORONTO CITY,6158355,2019-06-22,2019,6,22,25.4,14.2,19.8,0.0,1.8,0.0,0.0,0.0,0.0,2019,2019-06-22,0.0,19.5,15.2,0.0,0.0,15.200000000000003,0.0,0.0,173,6,0.16481784665719793,-0.9863240225317866,1.2246467991473532e-16,-1.0,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2020-11-14,2020,11,14,8.1,2.9,5.5,12.5,0.0,0.0,0.0,0.0,0.0,2020,2020-11-14,0.1,7.3,0.4000000000000009,0.0,0.0,0.400000000000016,0.0,0.0,319,11,-0.7142921172691034,0.699847677146407,-0.5000000000000003,0.8660254037844383,10.2,1
-79.4,43.67,TORONTO CITY,6158355,2019-08-27,2019,8,27,22.0,18.3,20.1,0.0,2.1,0.0,0.0,12.6,0.0,2019,2019-08-27,0.0,20.7,0.0,0.0,0.0,1.1000000000000072,0.0,0.0,239,8,-0.8247650844733615,-0.5654755126737576,-0.8660254037844383,-0.5000000000000003,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2020-11-29,2020,11,29,10.1,3.1,6.6,11.4,0.0,0.0,0.0,0.0,0.0,2020,2020-11-29,0.0,5.6,0.6,0.0,0.0,25.300000000000015,0.0,0.0,334,11,-0.5120551783114645,0.8589525565270844,-0.5000000000000003,0.8660254037844383,23.4,1
-79.4,43.67,TORONTO CITY,6158355,2020-04-01,2020,4,1,9.4,2.7,6.1,11.9,0.0,0.0,0.0,0.6,0.0,2020,2020-04-01,0.3,5.4,14.1,0.0,0.0,18.00000000000001,0.0,0.0,92,4,0.9999300657962057,-0.011826390691832589,0.8660254037844387,-0.4999999999999997,1.1,0
-79.4,43.67,TORONTO CITY,6158355,2020-12-18,2020,12,18,0.4,-7.0,-3.3,21.3,0.0,0.0,0.0,0.0,0.0,2020,2020-12-18,0.1,-5.0,0.5,0.0,0.0,9.600000000000014,0.0,0.0,353,12,-0.20917350564635642,0.9778785428342387,-2.4492935982947064e-16,1.0,2.1,0
-79.4,43.67,TORONTO CITY,6158355,2020-06-10,2020,6,10,30.4,16.9,23.7,0.0,5.7,0.0,0.0,15.7,0.0,2020,2020-06-10,0.0,23.3,0.5999999999999982,0.0,0.0,8.400000000000011,0.0,0.0,162,6,0.3474028211842774,-0.9377159910299093,1.2246467991473532e-16,-1.0,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2020-04-22,2020,4,22,6.6,-1.9,2.4,15.6,0.0,0.0,0.0,1.3,0.0,2020,2020-04-22,0.8,3.4,1.5999999999999983,0.0,0.0,5.700000000000011,0.0,0.0,113,4,0.9312100364121948,-0.3644830148102913,0.8660254037844387,-0.4999999999999997,0.7,0
-79.4,43.67,TORONTO CITY,6158355,2019-05-06,2019,5,6,21.9,8.9,15.4,2.6,0.0,0.0,0.0,0.0,0.0,2019,2019-05-06,0.0,12.0,11.5,0.0,0.0,30.1,0.0,0.0,126,5,0.8271893372462497,-0.5619233046832194,0.4999999999999999,-0.8660254037844386,2.4,0
-79.4,43.67,TORONTO CITY,6158355,2019-10-31,2019,10,31,12.9,5.5,9.2,8.8,0.0,0.0,0.0,24.1,0.0,2019,2019-10-31,17.1,8.9,17.1,0.0,0.0,62.00000000000001,0.0,0.0,304,10,-0.8692328164574791,0.4944029842076181,-0.8660254037844385,0.5,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-08-04,2019,8,4,25.4,18.7,22.0,0.0,4.0,0.0,0.0,0.0,0.0,2019,2019-08-04,0.0,22.6,0.0,0.0,0.0,23.000000000000007,0.0,0.0,216,8,-0.5431052396834316,-0.8396646346181327,-0.8660254037844383,-0.5000000000000003,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-12-16,2019,12,16,1.5,-4.0,-1.2,19.2,0.0,0.0,0.0,0.0,0.0,2019,2019-12-16,0.2,-0.6,24.7,0.0,0.0,32.50000000000001,0.0,0.0,350,12,-0.2593382659754056,0.9657865518844576,-2.4492935982947064e-16,1.0,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-09-30,2019,9,30,16.9,12.4,14.6,3.4,0.0,0.0,0.0,0.0,0.0,2019,2019-09-30,0.0,12.5,4.3,0.0,0.0,7.500000000000007,0.0,0.0,273,9,-0.9998699583618593,-0.016126573270657762,-1.0,-1.8369701987210297e-16,9.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-10-01,2019,10,1,29.6,15.3,22.5,0.0,4.5,0.0,0.0,9.0,0.0,2019,2019-10-01,0.0,14.6,4.3,0.0,0.0,7.500000000000007,0.0,0.0,274,10,-0.9999994220246924,0.001075151282798226,-0.8660254037844385,0.5,9.3,0
-79.4,43.67,TORONTO CITY,6158355,2020-08-14,2020,8,14,28.6,21.2,24.9,0.0,6.9,0.0,0.0,0.0,0.0,2020,2020-08-14,0.0,25.1,0.0,0.0,0.0,0.7000000000000142,0.0,0.0,227,8,-0.6913512362094072,-0.7225188358733111,-0.8660254037844383,-0.5000000000000003,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-05-08,2019,5,8,11.2,6.1,8.6,9.4,0.0,0.0,0.0,0.0,0.0,2019,2019-05-08,2.4,10.3,2.4,0.0,0.0,31.7,0.0,0.0,128,5,0.8073707443023493,-0.5900444739548625,0.4999999999999999,-0.8660254037844386,6.1,0
-79.4,43.67,TORONTO CITY,6158355,2020-09-16,2020,9,16,23.0,14.4,18.7,0.0,0.7,0.0,0.0,0.0,0.0,2020,2020-09-16,0.2,14.0,9.399999999999999,0.0,0.0,10.100000000000014,0.0,0.0,260,9,-0.9713952846837501,-0.23746831555846848,-1.0,-1.8369701987210297e-16,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2020-06-21,2020,6,21,30.1,20.1,25.1,0.0,7.1,0.0,0.0,0.4,0.0,2020,2020-06-21,0.8,25.4,2.6999999999999984,0.0,0.0,6.500000000000011,0.0,0.0,173,6,0.16481784665719793,-0.9863240225317866,1.2246467991473532e-16,-1.0,0.5,0
-79.4,43.67,TORONTO CITY,6158355,2019-09-12,2019,9,12,19.4,13.6,16.5,1.5,0.0,0.0,0.0,0.5,0.0,2019,2019-09-12,0.3,23.0,14.200000000000001,0.0,0.0,14.700000000000008,0.0,0.0,255,9,-0.9474042892438846,-0.32003923622313857,-1.0,-1.8369701987210297e-16,4.8,0
-79.4,43.67,TORONTO CITY,6158355,2020-11-08,2020,11,8,19.1,8.5,13.8,4.2,0.0,0.0,0.0,0.0,0.0,2020,2020-11-08,0.0,14.9,0.0,0.0,0.0,6.800000000000016,0.0,0.0,313,11,-0.7825970017677835,0.6225286602431056,-0.5000000000000003,0.8660254037844383,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-02-26,2019,2,26,-4.2,-9.9,-7.0,25.0,0.0,0.0,0.0,0.2,6.0,2019,2019-02-26,0.4,-4.3,10.4,0.0,0.0,13.1,0.0,0.0,57,2,0.8307970168121248,0.5565755266413303,0.8660254037844385,0.5000000000000001,8.6,0
-79.4,43.67,TORONTO CITY,6158355,2020-08-06,2020,8,6,23.9,14.1,19.0,0.0,1.0,0.0,0.0,0.0,0.0,2020,2020-08-06,0.4,20.0,35.5,0.0,0.0,82.10000000000001,0.0,0.0,219,8,-0.5856957398073507,-0.8105309990194824,-0.8660254037844383,-0.5000000000000003,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-04-15,2019,4,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,2019-04-15,24.0,3.9,25.4,0.0,0.0,27.2,0.0,0.0,105,4,0.972407556121997,-0.23328854407545524,0.8660254037844387,-0.4999999999999997,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2020-11-02,2020,11,2,7.7,-1.1,3.3,14.7,0.0,0.0,0.0,0.0,0.0,2020,2020-11-02,6.8,6.3,6.800000000000001,0.0,0.0,8.500000000000016,0.0,0.0,307,11,-0.8425720899866032,0.538583580492023,-0.5000000000000003,0.8660254037844383,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-04-04,2019,4,4,6.2,-0.8,2.7,15.3,0.0,0.0,0.0,0.0,0.0,2019,2019-04-04,0.0,5.0,0.3,0.0,0.0,39.6,0.0,0.0,94,4,0.9989315138848578,-0.046215046983708354,0.8660254037844387,-0.4999999999999997,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-08-23,2019,8,23,22.8,14.5,18.6,0.0,0.6,0.0,0.0,0.0,0.0,2019,2019-08-23,0.0,0.0,1.1,0.0,0.0,28.70000000000001,0.0,0.0,235,8,-0.7839338166829202,-0.6208444016506469,-0.8660254037844383,-0.5000000000000003,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-07-01,2019,7,1,26.3,15.9,21.1,0.0,3.1,0.0,0.0,0.0,0.0,2019,2019-07-01,0.0,21.5,13.5,0.0,0.0,31.900000000000006,0.0,0.0,182,7,0.010751307763521931,-0.9999422030204418,-0.4999999999999997,-0.8660254037844387,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-01-31,2019,1,31,-12.6,-21.2,-16.9,34.9,0.0,0.0,0.0,0.0,22.0,2019,2019-01-31,0.2,-17.5,16.3,0.0,0.0,28.099999999999998,0.0,0.0,31,1,0.5083564379375121,0.861146754048045,0.4999999999999999,0.8660254037844386,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2020-09-29,2020,9,29,18.6,13.3,15.9,2.1,0.0,0.0,0.0,5.5,0.0,2020,2020-09-29,5.8,20.7,7.2,0.0,0.0,12.500000000000018,0.0,0.0,273,9,-0.9998699583618593,-0.016126573270657762,-1.0,-1.8369701987210297e-16,7.7,0
-79.4,43.67,TORONTO CITY,6158355,2019-07-23,2019,7,23,26.4,17.0,21.7,0.0,3.7,0.0,0.0,0.0,0.0,2019,2019-07-23,0.7,21.2,5.0,0.0,0.0,31.000000000000004,0.0,0.0,204,7,-0.35947181308842324,-0.9331559438780431,-0.4999999999999997,-0.8660254037844387,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-12-20,2019,12,20,-2.9,-9.0,-5.9,23.9,0.0,0.0,0.0,0.2,4.0,2019,2019-12-20,1.4,-10.1,2.0999999999999996,0.0,0.0,26.800000000000008,0.0,0.0,354,12,-0.19232150523909486,0.9813319716704276,-2.4492935982947064e-16,1.0,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-09-25,2019,9,25,25.0,14.1,19.5,0.0,1.5,0.0,0.0,0.0,0.0,2019,2019-09-25,0.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,268,9,-0.9947883056093269,-0.10196189005174576,-1.0,-1.8369701987210297e-16,3.2,0
-79.4,43.67,TORONTO CITY,6158355,2019-11-10,2019,11,10,7.7,-0.3,3.7,14.3,0.0,0.0,0.0,0.2,1.0,2019,2019-11-10,0.0,1.0,4.3,0.0,0.0,5.200000000000006,0.0,0.0,314,11,-0.7717727365467838,0.6358984534680744,-0.5000000000000003,0.8660254037844383,14.1,1
-79.4,43.67,TORONTO CITY,6158355,2020-03-31,2020,3,31,6.3,4.4,5.4,12.6,0.0,0.0,0.0,0.3,1.0,2020,2020-03-31,2.5,7.6,14.899999999999999,0.0,0.0,17.90000000000001,0.0,0.0,91,3,0.9999855506507185,0.005375731557583884,1.0,6.123233995736766e-17,0.6,0
-79.4,43.67,TORONTO CITY,6158355,2019-08-05,2019,8,5,28.3,17.0,22.7,0.0,4.7,0.0,0.0,0.0,0.0,2019,2019-08-05,0.0,22.0,0.0,0.0,0.0,23.000000000000007,0.0,0.0,217,8,-0.5574684374327891,-0.8301981337405213,-0.8660254037844383,-0.5000000000000003,5.1,0
-79.4,43.67,TORONTO CITY,6158355,2019-02-07,2019,2,7,6.2,-2.2,2.0,16.0,0.0,0.0,0.0,1.0,3.0,2019,2019-02-07,11.0,-2.9,13.3,0.0,0.0,13.3,0.0,0.0,38,2,0.6081214998935417,0.7938439653781021,0.8660254037844385,0.5000000000000001,0.2,0
